model,seed,fold,spearman,kendall,mae,rmse,r2,best
Ridge,1,4,0.8407129455909944,0.6512820512820513,1.0470949315614866,1.2995251309895632,0.6973842527532963,"{""m__alpha"": 100}"
Ridge,2,0,0.8178236397748594,0.6128205128205129,1.0998661843174005,1.3557540760471907,0.6594223587339686,"{""m__alpha"": 30}"
Ridge,2,1,0.8956848030018764,0.7230769230769231,1.0684697851689307,1.330352046384493,0.6885886685649736,"{""m__alpha"": 100}"
Ridge,2,2,0.852532833020638,0.6564102564102565,1.100106964889608,1.3984033828130071,0.698878712653852,"{""m__alpha"": 100}"
Ridge,2,3,0.8673545966228894,0.6897435897435897,1.1730197313968571,1.4951261515004985,0.6550845722375553,"{""m__alpha"": 100}"
Ridge,2,4,0.877298311444653,0.694871794871795,1.0946596172231575,1.3259901879725038,0.720367418250401,"{""m__alpha"": 30}"
Ridge,3,0,0.84859287054409,0.6461538461538462,1.1999843527716245,1.4257480469678723,0.6081050115058975,"{""m__alpha"": 30}"
Ridge,3,1,0.8508442776735461,0.6743589743589744,1.0425046509902922,1.3302284504910953,0.6819251801447899,"{""m__alpha"": 100}"
Ridge,3,2,0.8493433395872422,0.6743589743589744,1.0811877755643464,1.3179088066401243,0.7172142201534791,"{""m__alpha"": 30}"
Ridge,3,3,0.8671669793621014,0.6871794871794872,1.172404819253634,1.5186896201255018,0.658256741714591,"{""m__alpha"": 100}"
Ridge,3,4,0.8474671669793623,0.6435897435897436,1.1520878841423083,1.4592674260242198,0.6782476373192305,"{""m__alpha"": 30}"
Ridge,4,0,0.8382739212007506,0.6410256410256411,1.1567096275034343,1.3913890388928702,0.6729256173895828,"{""m__alpha"": 100}"
Ridge,4,1,0.8953095684803002,0.7076923076923077,1.0262179571004273,1.3439094342831925,0.6984244918904772,"{""m__alpha"": 100}"
Ridge,4,2,0.8352720450281428,0.6717948717948719,1.0854186992899937,1.4475773284910507,0.6766141673855481,"{""m__alpha"": 30}"
Ridge,4,3,0.8401500938086305,0.6461538461538462,1.0860600198955805,1.380759859252313,0.7026314271254754,"{""m__alpha"": 30}"
Ridge,4,4,0.9046904315196999,0.7333333333333334,1.0340245262166836,1.258800643919081,0.7123027570574421,"{""m__alpha"": 100}"
RandomForest,0,0,0.8484052532833022,0.6871794871794872,1.0966631083410743,1.343342296808962,0.7061538404777035,"{""m__max_depth"": null, ""m__max_features"": 0.3, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,0,1,0.9146341463414636,0.7333333333333334,0.8271874326377556,1.0116977009304156,0.8110858336229134,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,0,2,0.8174484052532833,0.6384615384615385,1.069117759980994,1.3976181708703577,0.6864784981217917,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,0,3,0.8712945590994372,0.6897435897435897,1.0775342295784924,1.4175964683819116,0.6893613967851485,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,0,4,0.8341463414634148,0.6717948717948719,1.1391426054315084,1.4217225483273455,0.6679287801653687,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,1,0,0.8947467166979364,0.7410256410256411,0.8983953006516583,1.140593674514751,0.7773042063113468,"{""m__max_depth"": null, ""m__max_features"": 0.3, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,1,1,0.8050656660412758,0.6025641025641026,1.1494733060047935,1.4367162468665509,0.6582894438137468,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,1,2,0.8654784240150095,0.6692307692307692,1.1239786178007605,1.369880660365712,0.7161109390847353,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,1,3,0.7825515947467168,0.6128205128205129,1.1577026499295917,1.490512404211657,0.6460577557618887,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,1,4,0.9234521575984992,0.7615384615384616,0.863582887755317,1.1378020810631473,0.7680172960930595,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,2,0,0.7926829268292683,0.6153846153846155,1.0409262686955392,1.417146744103102,0.6278792030320652,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,2,1,0.8600375234521578,0.6717948717948719,0.9904977231491401,1.226330333419958,0.7353839460529574,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,2,2,0.8849906191369608,0.7051282051282052,0.9836827007096451,1.27291189230717,0.7504984691844819,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,2,3,0.8566604127579738,0.6743589743589744,1.1783709928006805,1.4141969048142042,0.6914136515164812,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,2,4,0.8581613508442778,0.6794871794871795,1.0489279373223919,1.2547383404647274,0.7496120127626404,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,3,0,0.8172607879924956,0.6384615384615385,0.9874987719398476,1.3050146640476505,0.6716667068836238,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,3,1,0.847842401500938,0.6410256410256411,1.11890422939219,1.262988695721208,0.7132682716733929,"{""m__max_depth"": 8, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,3,2,0.9084427767354597,0.7666666666666667,0.9730816112427579,1.1989953339398867,0.7659428930902834,"{""m__max_depth"": null, ""m__max_features"": 0.3, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,3,3,0.8416510318949344,0.6692307692307692,1.1493906970986152,1.5154601858446233,0.6597086038436353,"{""m__max_depth"": 8, ""m__max_features"": 0.3, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,3,4,0.8823639774859289,0.6846153846153847,1.1018899802483586,1.4030403611949076,0.7025648455341962,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,4,0,0.7759849906191371,0.5871794871794872,1.2855943971265902,1.6273110704167169,0.5526056114885258,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 3, ""m__n_estimators"": 400}"
RandomForest,4,1,0.854596622889306,0.6769230769230771,0.9520319640254058,1.296296226150921,0.7194149185073211,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,4,2,0.8662288930581616,0.7051282051282052,1.0972280742616072,1.4113074357862496,0.6926163921216231,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,4,3,0.8953095684803002,0.6897435897435897,0.9895718369464326,1.3024758435576749,0.7353949567267031,"{""m__max_depth"": null, ""m__max_features"": 0.3, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
RandomForest,4,4,0.8814258911819888,0.7000000000000001,0.9213350498834085,1.1307229859122163,0.7678684192546208,"{""m__max_depth"": null, ""m__max_features"": 0.6, ""m__min_samples_leaf"": 1, ""m__n_estimators"": 400}"
LightGBM,0,0,0.8966228893058164,0.7435897435897436,0.8838088125550543,1.1259605868549152,0.7935603957167557,"{""m__colsample_bytree"": 0.6, ""m__learning_rate"": 0.05, ""m__min_child_samples"": 5, ""m__n_estimators"": 400, ""m__num_leaves"": 7, ""m__reg_lambda"": 10.0}"
