uni_id,member,region,country,name,url,final_url,http_status,page_lang,native_lang,switched_to_english,fetched_at,load_time_s,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a18_recent_notice_date,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a73_accessible_design,a74_a11y_toggle,a75_bookmark,notice_date_future,a18_missing,country_is_bucket,country_rank_eligible
3035,M3,Eastern & Southern Europe,Italy,University of Sassari,https://www.uniss.it,https://www.uniss.it/en,200,en,it,True,2026-08-11T10:34:28+00:00,24.55,1,1,5,1,1,0,0,0,1,0,0,0,0,0,0,,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,12.63,1,1,1,0,0,0,75,1,0,1,1,1,0,100.0,1,1,0,0,1,0,1
3036,M3,Eastern & Southern Europe,Italy,Marche Polytechnic University,https://www.univpm.it,https://www.univpm.it/Entra/Universita_Politecnica_delle_Marche_Home/L/1,200,en,it,True,2026-08-11T10:34:51+00:00,11.685,1,1,1,1,1,0,0,0,0,0,0,1,6,1,1,2026-11-17,1,0,1,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,16.39,1,1,0,0,0,0,75,1,0,1,0,1,0,92.3,1,0,0,1,0,0,1
3037,M3,Eastern & Southern Europe,Italy,Scuola Normale Superiore di Pisa,https://www.sns.it,https://www.sns.it/en,200,en,it,True,2026-08-11T10:35:03+00:00,5.221,1,1,4,1,1,0,0,0,0,0,1,0,0,0,1,2026-12-09,1,0,1,1,9,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,14.0,1,1,0,0,0,0,75,1,0,0,0,1,0,100.0,1,1,0,1,0,0,1
3038,M3,Eastern & Southern Europe,Italy,Sant'Anna School of Advanced Studies,https://www.santannapisa.it,https://www.santannapisa.it/en,200,en,it,True,2026-08-11T10:35:20+00:00,11.999,1,1,5,1,1,0,0,0,0,0,1,1,10,1,1,2026-09-26,1,0,1,0,4,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,16.14,1,1,0,0,0,0,75,1,2,1,0,1,1,100.0,1,0,0,1,0,0,1
3039,M3,Eastern & Southern Europe,Italy,University of Udine,https://www.uniud.it,https://www.uniud.it/en/uniud-international?set_language=en,200,en,it,True,2026-08-11T10:36:07+00:00,13.453,1,1,6,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.43,1,1,0,0,0,0,90,1,0,1,1,0,1,100.0,1,0,0,0,1,0,1
3042,M3,Eastern & Southern Europe,Spain,Autonomous University of Madrid,https://www.uam.es,https://www.uam.es/uam/en/inicio,200,en,es,True,2026-08-11T10:36:53+00:00,14.807,1,1,9,1,1,1,0,1,0,0,1,1,3,0,1,2026-05-18,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,15.43,1,1,0,0,0,0,100,1,0,0,1,1,0,96.0,1,1,0,0,0,0,1
3043,M3,Eastern & Southern Europe,Spain,Autonomous University of Barcelona,https://www.uab.cat,https://www.uab.cat/web/universitat-autonoma-de-barcelona-1345467954774.html,200,en,ca,True,2026-08-11T10:37:15+00:00,11.873,1,1,5,1,0,0,1,1,0,0,1,1,8,1,0,,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,18.73,1,0,0,0,1,0,75,1,0,1,1,1,0,100.0,1,1,0,0,1,0,1
3045,M3,Eastern & Southern Europe,Spain,University of Valencia,https://www.uv.es,https://www.uv.es/uval/www_mantenimiento/%3f,200,ca_es,ca,True,2026-08-11T10:38:07+00:00,13.128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,0,0,0,0,1,0,1
3046,M3,Eastern & Southern Europe,Spain,Polytechnic University of Catalonia,https://www.upc.edu,https://www.upc.edu/en,200,en,ca,True,2026-08-11T10:38:27+00:00,11.48,1,1,2,1,1,0,0,1,1,0,1,0,0,0,0,,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,18.76,1,1,0,0,0,0,90,1,0,1,0,1,0,59.0,1,1,0,0,1,0,1
3048,M3,Eastern & Southern Europe,Spain,University of Navarra,https://www.unav.edu,https://en.unav.edu/,200,en,es-es,True,2026-08-11T10:38:58+00:00,8.966,1,1,3,1,1,0,0,1,1,1,1,0,0,1,1,2026-11-06,1,1,1,1,4,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,21.0,1,1,0,1,0,0,100,1,0,1,1,1,1,30.4,1,1,0,1,0,0,1
